player_name,team_title,games,time,shots_on_target_against,goals_against,xG_against,post_shot_xG,saves,penalty_saved,saves_per90,shots_on_target_against_per90,goals_against_per90,save_pct,season,league
"Digal, Diegocarl",San Beda University,12,59112.0,26,7,3.263,3.526,19,0,1.736,2.375,0.639,73.08,2025,Philippine College
"Tabelin, Kirvy",San Beda University,10,50460.0,21,7,2.304,2.444,14,0,1.498,2.247,0.749,66.67,2023,Philippine College
"Tagara, Pedro",De La Salle University,14,65688.0,20,9,3.758,4.332,11,0,0.904,1.644,0.74,55.0,2025,Philippine College
"Libarnes, Jaro",National University,11,57618.0,15,5,4.227,4.343,10,0,0.937,1.406,0.469,66.67,2024,Philippine College
"Cruz, Jan",National University,11,51084.0,15,7,3.198,3.423,8,0,0.846,1.586,0.74,53.33,2023,Philippine College
"Tagara, Pedro",Ateneo de Manila University,12,56376.0,14,7,3.422,2.837,7,0,0.67,1.341,0.67,50.0,2023,Philippine College
"Encaya, Pius",Mapúa University,12,54936.0,23,10,6.491,6.252,13,0,1.278,2.261,0.983,56.52,2023,Philippine College
"Omitade, Edvard",San Beda University,14,61404.0,31,12,4.661,4.488,19,0,1.671,2.726,1.055,61.29,2023,Philippine College
"Bacaycay, Kurt",University of the Philippines,15,70020.0,25,7,8.225,8.271,18,0,1.388,1.928,0.54,72.0,2023,Philippine College
"Bacaycay, Kurt",National University,13,60294.0,24,11,4.456,4.503,13,0,1.164,2.149,0.985,54.17,2023,Philippine College
"Libarnes, Jaro",Ateneo de Manila University,12,62496.0,33,15,7.38,7.479,18,0,1.555,2.851,1.296,54.55,2025,Philippine College
"Reyes, Mark",Lyceum,10,55440.0,16,5,4.207,4.45,11,0,1.071,1.558,0.487,68.75,2024,Philippine College
"Aningalan, Jul",Lyceum,10,49440.0,20,8,6.49,6.116,12,0,1.311,2.184,0.874,60.0,2025,Philippine College
"Omitade, Edvard",Lyceum,11,55176.0,23,6,4.173,4.488,17,0,1.664,2.251,0.587,73.91,2023,Philippine College
"Omitade, Edvard",Adamson University,13,64194.0,36,8,2.842,2.897,28,0,2.355,3.028,0.673,77.78,2024,Philippine College
"Encaya, Pius",University of the Philippines,13,56394.0,22,5,5.998,6.908,17,0,1.628,2.107,0.479,77.27,2025,Philippine College
"Aningalan, Jul",Far Eastern University,10,44100.0,17,4,3.576,4.233,13,0,1.592,2.082,0.49,76.47,2024,Philippine College
"Barro, Harvy",National University,12,57600.0,22,8,5.118,4.795,14,0,1.312,2.062,0.75,63.64,2025,Philippine College
"Encaya, Pius",De La Salle University,12,55440.0,22,5,3.889,4.486,17,0,1.656,2.143,0.487,77.27,2025,Philippine College
"Acebedo, James",Adamson University,10,52740.0,17,6,6.559,6.693,11,0,1.126,1.741,0.614,64.71,2025,Philippine College
"Omitade, Edvard",San Beda University,12,57960.0,21,12,5.616,5.704,9,0,0.839,1.957,1.118,42.86,2023,Philippine College
"Barro, Harvy",Adamson University,10,47460.0,20,7,4.728,5.285,13,0,1.479,2.276,0.796,65.0,2025,Philippine College
"Tabelin, Kirvy",De La Salle University,10,48720.0,19,7,2.412,2.476,12,0,1.33,2.106,0.776,63.16,2024,Philippine College
"Acebedo, James",Far Eastern University,15,82080.0,26,6,8.392,8.419,20,0,1.316,1.711,0.395,76.92,2024,Philippine College
"Lopez, Ryan",National University,12,59904.0,24,10,6.422,6.025,14,0,1.262,2.163,0.901,58.33,2024,Philippine College
