<<<<<<< Updated upstream,is_synthetic,team_name,possession__your_possession_time_seconds,possession__attacking_third_possession_seconds,possession__attacking_third_possession_pct_of_team,possession__possession_pct,distribution__passes,distribution__successful_passes,distribution__intercepted_passes,distribution__unsuccessful_passes,distribution__short_passes,distribution__long_passes,distribution__crosses,distribution__through_passes,distribution__header_passes,distribution__forward_passes,distribution__lateral_passes,distribution__back_passes,distribution__passing_accuracy_pct,distribution__assists,distribution__key_passes,attack__goals,attack__shots,attack__shots_on_target,attack__shots_off_target,attack__blocked_shots,attack__shot_creating_actions,defense__tackles,defense__successful_tackles,defense__tackles_success_rate_pct,defense__clearances,defense__interceptions,defense__recoveries,defense__recoveries_attacking_third,defense__recoveries_attacking_third_pct,defense__blocks,defense__saves,general__duels,general__duels_won,general__duels_success_rate_pct,general__aerial_duels,general__ground_duels,general__offsides,general__corner_awarded,discipline__fouls_conceded,discipline__yellow_cards,discipline__red_cards,match_rating_attack,match_rating_defense,match_rating_distribution,match_rating_general,match_rating_discipline,overall_rating,outcome_score,added_at,match_number,match_id,match_rating_overall
match_rating_overall,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
