player_name,team_title,games,time,shots_on_target_against,goals_against,xG_against,post_shot_xG,saves,penalty_saved,saves_per90,shots_on_target_against_per90,goals_against_per90,save_pct,season,league
"Digal, Diegocarl",San Beda University,23,117697,1,1,87.636,36.754,0,0,0.0,0.046,0.046,0.0,2025,UAAP
"Libarnes, Jaro",Mapúa University,23,100982,0,0,88.983,35.405,0,0,0.0,0.0,0.0,0.0,2025,Philippine College
"Mapula, Paul",De La Salle University,23,117220,1,0,95.403,38.906,1,1,0.046,0.046,0.0,100.0,2025,Manila Collegiate League
"Aningalan, Jul",National University,22,115854,0,0,90.812,33.004,0,1,0.0,0.0,0.0,0.0,2025,Philippine College
"Lopez, Ryan",University of the Philippines,24,119844,0,0,93.873,39.633,0,0,0.0,0.0,0.0,0.0,2025,Philippine College
"Tagara, Pedro",De La Salle University,25,124785,1,1,91.018,36.414,0,0,0.0,0.043,0.043,0.0,2024,UAAP
"Libarnes, Jaro",De La Salle University,23,131100,0,0,90.037,43.319,0,2,0.0,0.0,0.0,0.0,2024,Manila Collegiate League
"Tabelin, Kirvy",Adamson University,24,123097,2,1,90.787,36.112,1,1,0.044,0.088,0.044,50.0,2024,Philippine College
"Bacnis, Hugo",De La Salle University,23,123787,0,0,97.426,35.964,0,1,0.0,0.0,0.0,0.0,2024,NCAA
"Reyes, Mark",National University,27,136438,0,0,99.611,35.255,0,1,0.0,0.0,0.0,0.0,2023,Philippine College
"Santos, Luis",National University,25,119770,2,0,91.223,34.157,2,0,0.09,0.09,0.0,100.0,2025,UAAP
"Digal, Diegocarl",Far Eastern University,25,101617,1,1,91.065,35.886,0,0,0.0,0.053,0.053,0.0,2024,NCAA
"Digal, Diegocarl",Far Eastern University,24,130084,0,0,93.485,38.028,0,0,0.0,0.0,0.0,0.0,2025,NCAA
"Tagara, Pedro",Far Eastern University,23,113774,1,1,97.248,41.891,0,3,0.0,0.047,0.047,0.0,2023,Philippine College
"Cruz, Jan",De La Salle University,24,116378,0,0,104.138,36.288,0,0,0.0,0.0,0.0,0.0,2023,Manila Collegiate League
"Salingay, Sam",Adamson University,21,94873,0,0,95.942,35.634,0,1,0.0,0.0,0.0,0.0,2025,UAAP
"Libarnes, Jaro",Lyceum,24,123344,0,0,94.781,37.029,0,0,0.0,0.0,0.0,0.0,2023,Philippine College
"Fernandez, Laurence",Mapúa University,25,123448,1,0,94.789,36.304,1,1,0.044,0.044,0.0,100.0,2023,Manila Collegiate League
"Bacaycay, Kurt",National University,21,84026,1,1,88.685,43.86,0,0,0.0,0.064,0.064,0.0,2025,Philippine College
"Bacnis, Hugo",De La Salle University,24,116911,1,1,91.291,40.859,0,1,0.0,0.046,0.046,0.0,2024,NCAA
"Aningalan, Jul",Mapúa University,25,115193,1,1,94.71,41.453,0,1,0.0,0.047,0.047,0.0,2023,Philippine College
"Acebedo, James",Far Eastern University,23,94750,1,1,93.468,37.655,0,1,0.0,0.057,0.057,0.0,2024,UAAP
"Salingay, Sam",University of the Philippines,23,110319,0,0,95.288,36.437,0,0,0.0,0.0,0.0,0.0,2023,Philippine College
"Escodo, Bel",Ateneo de Manila University,23,110414,0,0,100.373,38.16,0,1,0.0,0.0,0.0,0.0,2025,Philippine College
"Santos, Luis",Ateneo de Manila University,24,115750,0,0,88.097,41.186,0,0,0.0,0.0,0.0,0.0,2024,UAAP
"Barro, Harvy",San Beda University,24,123439,0,0,104.484,43.248,0,1,0.0,0.0,0.0,0.0,2024,Philippine College
"Tagara, Pedro",Far Eastern University,24,106429,0,0,93.307,37.694,0,0,0.0,0.0,0.0,0.0,2023,Manila Collegiate League
"Digal, Diegocarl",De La Salle University,22,118276,0,0,96.796,38.824,0,1,0.0,0.0,0.0,0.0,2024,Philippine College
