player_name,minutes_played,position,dpr,dpr_breakdown,status,team,number,key_stats_p90,raw_stats,shots_p90,shots_on_target_p90,goals_p90,passes_p90,successful_passes_p90,unsuccessful_passes_p90,key_passes_p90,assists_p90,avg_pass_distance_p90,progressive_passes_p90,duels_p90,duels_won_p90,tackles_p90,successful_tackles_p90,tackle_success_rate_pct_p90,interceptions_p90,clearances_p90,recoveries_p90,blocked_shots_p90,dribbles_p90,successful_dribbles_p90,dribble_success_rate_pct_p90,shot_accuracy_pct_p90,goal_conversion_pct_p90,passing_accuracy_pct_p90,key_pass_rate_pct_p90,duel_success_rate_pct_p90,raw_possession_your_possession_time_seconds,raw_possession_possession_pct,raw_distribution_passes,raw_distribution_successful_passes,raw_distribution_unsuccessful_passes,raw_distribution_passing_accuracy_pct,raw_distribution_key_passes,raw_distribution_key_pass_rate_pct,raw_distribution_assists,raw_distribution_avg_pass_distance,raw_distribution_progressive_passes,raw_attack_shots,raw_attack_shots_on_target,raw_attack_goals,raw_attack_shot_accuracy_pct,raw_attack_goal_conversion_pct,raw_dribbles_dribbles,raw_dribbles_successful_dribbles,raw_dribbles_dribble_success_rate_pct,raw_defense_duels,raw_defense_duels_won,raw_defense_duel_success_rate_pct,raw_defense_tackles,raw_defense_successful_tackles,raw_defense_tackle_success_rate_pct,raw_defense_interceptions,raw_defense_clearances,raw_defense_recoveries,raw_defense_blocked_shots,raw_discipline_fouls_conceded,raw_discipline_yellow_cards,raw_discipline_red_cards,shots_raw,shots_on_target_raw,goals_raw,shot_accuracy_pct_raw,goal_conversion_pct_raw,passes_raw,successful_passes_raw,unsuccessful_passes_raw,passing_accuracy_pct_raw,key_passes_raw,key_pass_rate_pct_raw,assists_raw,avg_pass_distance_raw,progressive_passes_raw,duels_raw,duels_won_raw,duel_success_rate_pct_raw,tackles_raw,successful_tackles_raw,tackle_success_rate_pct_raw,interceptions_raw,clearances_raw,recoveries_raw,blocked_shots_raw,dribbles_raw,successful_dribbles_raw,dribble_success_rate_pct_raw,note,saves_p90,goals_conceded_p90,shots_faced_p90,shots_on_target_against_p90,goals_against_p90,save_pct_p90,saves_per90,goals_against_per90,shots_on_target_against_per90,save_pct,raw_defense_saves,raw_defense_goals_conceded,raw_goalkeeper_shots_faced,raw_goalkeeper_saves,raw_goalkeeper_goals_conceded,raw_goalkeeper_save_pct,raw_goalkeeper_shots_on_target_against,raw_goalkeeper_goals_against,match_id,match_name
"Acebedo, James",28.67,CAM,63.7,0.0,substitute,San Beda University,19.0,0.0,0.0,3.14,0.0,0.0,18.84,18.84,0.0,0.0,0.0,19.62,12.56,6.28,6.28,3.14,0.0,0.0,0.0,3.14,0.0,3.14,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,33.0,1.01,6.0,6.0,0.0,100.0,0.0,0.0,0.0,6.25,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,match_17_sbu_vs_sin,match_17_sbu_vs_sin
"Aningalan, Jul",92.63,CB,74.5,0.0,starter,San Beda University,2.0,0.0,0.0,0.0,0.0,0.0,39.83,33.03,6.8,0.0,0.0,-4.29,11.66,2.91,2.91,0.97,0.97,97.16,6.8,2.91,0.0,0.0,3.89,2.91,75.0,0.0,0.0,82.93,0.0,100.0,291.0,8.89,41.0,34.0,7.0,82.93,0.0,0.0,0.0,-4.42,12.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,75.0,3.0,3.0,100.0,1.0,1.0,100.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,match_17_sbu_vs_sin,match_17_sbu_vs_sin
"Bacaycay, Kurt",15.5,RWB,20.0,0.0,substitute,San Beda University,71.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.18,2.0,2.0,0.0,100.0,0.0,0.0,0.0,4.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,100.0,0.0,0.0,0.0,4.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,match_17_sbu_vs_sin,match_17_sbu_vs_sin
"Bacnis, Hugo",8.9,ST,19.2,0.0,substitute,San Beda University,37.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.24,1.0,1.0,0.0,100.0,0.0,0.0,0.0,-10.25,0.0,1.0,1.0,1.0,100.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,100.0,100.0,1.0,1.0,0.0,100.0,0.0,0.0,0.0,-10.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,,,,,,,,,,,,,,,,,,,match_17_sbu_vs_sin,match_17_sbu_vs_sin
"Bacnis, Louie",27.65,CDM,66.3,0.0,substitute,San Beda University,34.0,0.0,0.0,3.25,0.0,0.0,26.04,26.04,0.0,0.0,0.0,2.54,6.51,0.0,0.0,3.25,3.25,325.5,9.76,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,21.0,0.64,8.0,8.0,0.0,100.0,0.0,0.0,0.0,0.78,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,match_17_sbu_vs_sin,match_17_sbu_vs_sin
"Barro, Harvy",86.67,CDM,49.9,0.0,starter,San Beda University,8.0,0.0,0.0,0.0,0.0,0.0,24.92,19.73,5.19,0.0,0.0,-3.71,4.15,1.04,1.04,0.0,0.0,0.0,4.15,0.0,0.0,0.0,2.08,1.04,50.0,0.0,0.0,79.17,0.0,100.0,105.0,3.21,24.0,19.0,5.0,79.17,0.0,0.0,0.0,-3.57,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,match_17_sbu_vs_sin,match_17_sbu_vs_sin
"Bayubay, Cesar Ien",12.97,LWB,20.5,0.0,substitute,San Beda University,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,1.01,5.0,2.0,3.0,40.0,0.0,0.0,0.0,14.95,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,40.0,0.0,0.0,0.0,14.95,3.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,match_17_sbu_vs_sin,match_17_sbu_vs_sin
"Digal, Diegocarl",93.25,CB,53.4,0.0,starter,San Beda University,9.0,0.0,0.0,0.0,0.0,0.0,27.02,23.16,3.86,0.0,0.0,-5.75,5.79,0.97,0.97,0.0,0.0,0.0,1.93,2.9,0.0,0.0,0.97,0.97,100.0,0.0,0.0,85.71,0.0,100.0,104.0,3.18,28.0,24.0,4.0,85.71,0.0,0.0,0.0,-5.96,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,match_17_sbu_vs_sin,match_17_sbu_vs_sin
"Dilodilo, Austin",91.93,GK,34.6,0.0,starter,San Beda University,1.0,0.0,0.0,0.0,0.0,0.0,22.52,14.68,7.83,0.0,0.0,12.57,9.79,0.98,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.22,0.0,100.0,355.0,10.84,23.0,15.0,8.0,65.22,0.0,0.0,0.0,12.84,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.98,0.98,0.98,0.98,0.0,0.0,0.98,0.98,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,match_17_sbu_vs_sin,match_17_sbu_vs_sin
"Encaya, Pius",93.22,ST,49.1,0.0,starter,San Beda University,17.0,0.0,0.0,0.97,0.97,0.97,12.55,12.55,0.0,0.0,0.0,7.93,5.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,100.0,100.0,100.0,0.0,0.0,38.0,1.16,13.0,13.0,0.0,100.0,0.0,0.0,0.0,8.21,6.0,1.0,1.0,1.0,100.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,match_17_sbu_vs_sin,match_17_sbu_vs_sin
