player_name,minutes_played,position,dpr,dpr_breakdown,status,team,number,key_stats_p90,shots_p90,shots_on_target_p90,goals_p90,shot_accuracy_pct_p90,goal_conversion_pct_p90,passes_p90,successful_passes_p90,unsuccessful_passes_p90,key_passes_p90,key_pass_rate_pct_p90,assists_p90,avg_pass_distance_p90,progressive_passes_p90,duels_p90,duels_won_p90,duel_success_rate_pct_p90,tackles_p90,successful_tackles_p90,tackle_success_rate_pct_p90,interceptions_p90,clearances_p90,recoveries_p90,blocked_shots_p90,saves_p90,goals_conceded_p90,shots_faced_p90,shots_on_target_against_p90,goals_against_p90,saves_per90,goals_against_per90,shots_on_target_against_per90,save_pct
Bel,94.72,CAM,43.8,0.0,starter,San Beda,13.0,0.0,0.95,0.0,0.0,0.0,0.0,18.05,13.3,4.75,0.0,0.0,0.0,-4.47,4.75,2.85,0.95,31.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Diego,95.3,CB,44.3,0.0,starter,San Beda,9.0,0.0,0.0,0.0,0.0,0.0,0.0,26.44,25.5,0.94,0.0,0.0,0.0,-4.62,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,,,,,,,,,
Edvard Omitade,91.42,RW,55.1,0.0,starter,San Beda,1.0,0.0,3.94,1.97,1.97,49.23,49.23,16.74,14.77,1.97,0.0,0.0,0.0,7.66,2.95,7.88,2.95,36.92,0.0,0.0,0.0,0.0,0.0,1.97,0.0,,,,,,,,,
Harvy Barro,95.43,CDM,61.0,0.0,starter,San Beda,8.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84,30.18,5.66,0.0,0.0,0.0,1.39,10.37,0.94,0.94,94.31,3.77,1.89,47.15,0.0,0.0,1.89,0.94,,,,,,,,,
Jaro Libarnes,96.93,CB,45.9,0.0,starter,San Beda,28.0,0.0,0.0,0.0,0.0,0.0,0.0,21.35,13.93,7.43,0.0,0.0,0.0,-1.7,5.57,0.93,0.93,92.85,0.0,0.0,0.0,0.0,1.86,2.79,0.0,,,,,,,,,
Jul Aningalan,96.72,CB,41.0,0.0,starter,San Beda,2.0,0.0,0.0,0.0,0.0,0.0,0.0,31.64,30.71,0.93,0.0,0.0,0.0,-0.6,5.58,0.0,0.0,0.0,0.93,0.93,93.06,0.0,0.93,0.93,0.93,,,,,,,,,
Kirvy Tabelin,96.33,CAM,65.3,0.0,starter,San Beda,11.0,0.0,5.61,0.93,0.0,15.57,0.0,33.63,25.22,8.41,2.8,7.78,2.8,2.74,11.21,1.87,0.93,46.71,0.0,0.0,0.0,0.0,0.0,1.87,0.0,,,,,,,,,
Laurence Fernandez,95.15,LW,59.1,0.0,starter,San Beda,38.0,0.0,4.73,3.78,1.89,75.67,37.83,18.92,17.03,1.89,0.0,0.0,0.0,0.58,4.73,3.78,2.84,70.94,0.0,0.0,0.0,0.0,0.0,3.78,0.0,,,,,,,,,
Pedro Tagara,95.35,GK,41.5,0.0,starter,San Beda,15.0,0.0,0.0,0.0,0.0,0.0,0.0,17.93,17.93,0.0,0.0,0.0,0.0,-6.42,0.94,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.94,0.0,5.66,3.78,9.44,9.44,3.78,5.66,3.78,9.44,0.6
Pius Encaya,95.2,ST,19.0,0.0,starter,San Beda,17.0,0.0,1.89,0.0,0.0,0.0,0.0,11.34,8.51,2.84,0.0,0.0,0.0,-1.53,1.89,1.89,0.0,0.0,0.0,0.0,0.0,0.95,0.0,1.89,0.0,,,,,,,,,
Sam Salingay,94.72,ST,20.0,0.0,starter,San Beda,18.0,0.0,0.0,0.0,0.0,0.0,0.0,24.71,17.1,7.6,0.0,0.0,0.0,-1.42,4.75,2.85,0.95,31.67,1.9,1.9,95.02,0.0,0.0,1.9,0.0,,,,,,,,,
