player_name,minutes_played,position,dpr,dpr_breakdown,status,team,number,key_stats_p90,shots_p90,shots_on_target_p90,goals_p90,shot_accuracy_pct_p90,goal_conversion_pct_p90,passes_p90,successful_passes_p90,unsuccessful_passes_p90,key_passes_p90,key_pass_rate_pct_p90,assists_p90,avg_pass_distance_p90,progressive_passes_p90,duels_p90,duels_won_p90,duel_success_rate_pct_p90,tackles_p90,successful_tackles_p90,tackle_success_rate_pct_p90,interceptions_p90,clearances_p90,recoveries_p90,blocked_shots_p90,saves_p90,goals_conceded_p90,shots_faced_p90,shots_on_target_against_p90,goals_against_p90,saves_per90,goals_against_per90,shots_on_target_against_per90,save_pct
Austin Dilodilo,91.93,GK,34.6,0.0,starter,San Beda,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.52,14.68,7.83,0.0,0.0,0.0,12.57,9.79,0.98,0.98,97.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.0,0.98,0.98,0.0
Bel,30.73,CAM,53.5,0.0,substitute,San Beda,13.0,0.0,0.0,0.0,0.0,0.0,0.0,23.43,17.57,5.86,0.0,0.0,0.0,11.16,8.79,2.93,2.93,292.84,0.0,0.0,0.0,2.93,0.0,0.0,0.0,,,,,,,,,
Cesar Bayubay,12.97,LW,18.3,0.0,substitute,San Beda,14.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7,13.88,20.82,0.0,0.0,0.0,103.77,20.82,6.94,6.94,694.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Diego,93.25,CB,34.8,0.0,starter,San Beda,9.0,0.0,0.0,0.0,0.0,0.0,0.0,27.02,23.16,3.86,0.0,0.0,0.0,-5.75,5.79,0.97,0.97,96.51,0.0,0.0,0.0,1.93,2.9,0.0,0.0,,,,,,,,,
Edvard Omitade,91.0,RW,22.8,0.0,starter,San Beda,11.0,0.0,1.98,0.99,0.0,49.45,0.0,20.77,14.84,5.93,0.0,0.0,0.0,5.24,5.93,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,,,,,,,,,
Harvy Barro,86.67,CDM,50.6,0.0,starter,San Beda,8.0,0.0,0.0,0.0,0.0,0.0,0.0,24.92,19.73,5.19,0.0,0.0,0.0,-3.71,4.15,1.04,1.04,103.85,0.0,0.0,0.0,4.15,0.0,0.0,0.0,,,,,,,,,
Hugo Bacnis,8.9,LW,100.0,0.0,substitute,San Beda,30.0,0.0,10.11,10.11,10.11,1011.24,1011.24,10.11,10.11,0.0,0.0,0.0,0.0,-103.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
James Acebedo,28.67,CAM,68.7,0.0,substitute,San Beda,19.0,0.0,3.14,0.0,0.0,0.0,0.0,18.84,18.84,0.0,0.0,0.0,0.0,19.62,12.56,6.28,6.28,313.95,3.14,0.0,0.0,0.0,3.14,0.0,3.14,,,,,,,,,
James Paquite,32.97,LWB,34.0,0.0,DNP,San Beda,0.0,0.0,2.73,2.73,0.0,273.0,0.0,13.65,8.19,5.46,0.0,0.0,0.0,-2.32,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Jaro Libarnes,91.4,CB,30.1,0.0,starter,San Beda,28.0,0.0,0.0,0.0,0.0,0.0,0.0,15.75,14.77,0.98,0.0,0.0,0.98,2.76,5.91,0.0,0.0,0.0,0.98,0.0,0.0,2.95,0.0,0.0,0.0,,,,,,,,,
Jaryl Pineda,92.9,CAM,58.3,0.0,starter,San Beda,57.0,0.0,1.94,0.0,0.0,0.0,0.0,32.94,25.19,7.75,0.0,0.0,0.0,-1.98,10.66,1.94,0.97,48.44,0.97,0.97,96.88,4.84,0.0,0.0,0.0,,,,,,,,,
Jul Aningalan,92.63,CB,52.9,0.0,starter,San Beda,2.0,0.0,0.0,0.0,0.0,0.0,0.0,39.83,33.03,6.8,0.0,0.0,0.0,-4.29,11.66,2.91,2.91,97.16,0.97,0.97,97.16,6.8,2.91,0.0,0.0,,,,,,,,,
Kirvy Tabelin,92.2,CAM,39.4,0.0,starter,San Beda,11.0,0.0,3.9,2.93,0.98,73.21,24.4,18.55,12.69,5.86,0.0,0.0,0.0,-3.01,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.0,,,,,,,,,
Kurt Bacaycay,15.5,RW,19.5,0.0,substitute,San Beda,71.0,0.0,0.0,0.0,0.0,0.0,0.0,11.61,11.61,0.0,0.0,0.0,0.0,28.34,5.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Laurence Fernandez,93.5,LW,29.5,0.0,starter,San Beda,38.0,0.0,0.0,0.0,0.0,0.0,0.0,25.03,23.1,1.93,0.0,0.0,0.0,-5.35,2.89,5.78,5.78,96.26,0.96,0.96,96.26,0.96,2.89,0.0,0.0,,,,,,,,,
Louie Bacnis,27.65,CDM,68.8,0.0,substitute,San Beda,34.0,0.0,3.25,0.0,0.0,0.0,0.0,26.04,26.04,0.0,0.0,0.0,0.0,2.54,6.51,0.0,0.0,0.0,3.25,3.25,325.5,9.76,0.0,3.25,0.0,,,,,,,,,
Pius Encaya,93.22,ST,40.9,0.0,starter,San Beda,17.0,0.0,0.97,0.97,0.97,96.55,96.55,12.55,12.55,0.0,0.0,0.0,0.0,7.93,5.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Prince Mellendrez,3.63,LW,9.0,0.0,substitute,San Beda,30.0,0.0,0.0,0.0,0.0,0.0,0.0,24.77,24.77,0.0,0.0,0.0,0.0,-204.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Sam Salingay,80.03,ST,14.9,0.0,starter,San Beda,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,0.0,0.0,11.74,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,,,,,,,,,
Trillo,35.07,ST,24.4,0.0,substitute,San Beda,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.27,5.13,5.13,0.0,0.0,0.0,4.0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
