id,match_id,team,team_side,event,player_id,player_name,position,match_time_minute,half_period,video_timestamp,duration,in_possession,origin_x,origin_y,is_opponent_half,origin_third,outcome,type,pass_type,receiver_name,pass_end_x,pass_end_y,pass_end_third,pass_direction,is_key_pass,shot_type,is_outside_the_box,blocker_name,keeper_name,duel_type,defender_name,player_out,player_out_position,player_in,player_in_position,created_at
evt_0001,match_17_sbu_vs_sin,San Beda University,right,Kickoff,,,,0,1,255.603089,,false,,,,,,,,,,,,,,,,,,,,,,,,2025-11-05T09:05:46+01:00
evt_0002,match_17_sbu_vs_sin,San Beda University,right,Pass,20,"Fernandez, Laurence",RW,5,1,261.263571,5.0,true,64.14,41.96,false,defensive third,Unsuccessful,Long,Long,,21.14,82.09,attacking third,Forward Pass,False,,true,,,,,,,,,2025-11-05T09:06:39+01:00
evt_0003,match_17_sbu_vs_sin,,,Out of Play,,,,8,1,263.747217,3.0,false,,,,,,,,,,,,,,,,,,,,,,,,2025-11-05T09:06:52+01:00
evt_0004,match_17_sbu_vs_sin,San Beda University,right,Throw In,41,"Digal, Diegocarl",CB,20,1,276.163932,12.0,false,,,,,,,,,,,,,,,,,,,,,,,,2025-11-05T09:07:27+01:00
evt_0005,match_17_sbu_vs_sin,San Beda University,right,Pass,22,"Encaya, Pius",ST,22,1,277.628298,2.0,true,21.64,85.84,true,attacking third,Successful,Short,Short,"Digal, Diegocarl",23.14,92.59,attacking third,Back Pass,False,,true,,,,,,,,,2025-11-05T09:08:28+01:00
evt_0006,match_17_sbu_vs_sin,,,Out of Play,,,,25,1,280.639712,3.0,false,,,,,,,,,,,,,,,,,,,,,,,,2025-11-05T09:08:38+01:00
evt_0007,match_17_sbu_vs_sin,San Beda University,right,Throw In,41,"Digal, Diegocarl",CB,34,1,290.575703,9.0,false,,,,,,,,,,,,,,,,,,,,,,,,2025-11-05T09:09:05+01:00
evt_0008,match_17_sbu_vs_sin,San Beda University,right,Pass,22,"Encaya, Pius",ST,38,1,293.621144,4.0,true,20.89,73.46,true,attacking third,Successful,Short,Short,"Pineda, Jaryl",29.64,73.46,middle third,Back Pass,False,,true,,,,,,,,,2025-11-05T09:10:08+01:00
evt_0009,match_17_sbu_vs_sin,San Beda University,right,Pass,18,"Pineda, Jaryl",CAM,41,1,296.724159,3.0,true,29.14,68.58,true,middle third,Successful,Short,Short,"Encaya, Pius",29.64,78.33,middle third,Lateral Pass,False,,true,,,,,,,,,2025-11-05T09:12:10+01:00
evt_0010,match_17_sbu_vs_sin,San Beda University,right,Pass,22,"Encaya, Pius",ST,42,1,298.322118,1.0,true,31.64,79.08,true,middle third,Successful,Short,Short,"Digal, Diegocarl",43.39,91.09,middle third,Back Pass,False,,true,,,,,,,,,2025-11-05T09:12:50+01:00
evt_0011,match_17_sbu_vs_sin,San Beda University,right,Pass,41,"Digal, Diegocarl",CB,46,1,301.693313,4.0,true,37.39,90.71,true,middle third,Unsuccessful,Short,Short,,25.39,77.96,middle third,Forward Pass,False,,true,,,,,,,,,2025-11-05T09:14:08+01:00
evt_0012,match_17_sbu_vs_sin,Siniloan Blues,left,Pass,53,Unnamed,,46,1,302.122347,0.0,true,23.89,73.08,false,defensive third,Unsuccessful,Long,Long,,69.89,67.83,middle third,Forward Pass,False,,true,,,,,,,,,2025-11-05T09:15:36+01:00
evt_0013,match_17_sbu_vs_sin,San Beda University,right,Possession Loss,15,"Aningalan, Jul",CB,57,1,313.197518,11.0,false,76.89,86.96,false,defensive third,,,,,,,,,,,true,,,,,,,,,2025-11-05T09:17:24+01:00
