id,match_id,team,team_side,event,player_id,player_name,position,match_time_minute,half_period,video_timestamp,duration,in_possession,origin_x,origin_y,is_opponent_half,origin_third,outcome,type,pass_type,receiver_name,pass_end_x,pass_end_y,pass_end_third,pass_direction,is_key_pass,shot_type,is_outside_the_box,blocker_name,keeper_name,duel_type,defender_name,player_out,player_out_position,player_in,player_in_position,created_at
evt_0001,match_19_sbu_vs_2wfc,San Beda University,left,Kickoff,,,0,0,1,317.961491,,false,,,,,,,,,,,,,,,,,,,,,,,,2025-10-24T09:07:19+02:00
evt_0002,match_19_sbu_vs_2wfc,San Beda University,left,Pass,14,Jaro Libarnes,CB,5,1,323.544056,5.0,true,69.52,56.63,true,middle third,Unsuccessful,Long,Long,,19.52,78.01,defensive third,Back Pass,False,,true,,,,,,,,,2025-10-24T09:08:19+02:00
evt_0003,match_19_sbu_vs_2wfc,2 Worlds FC,right,Possession Loss,99,,0,11,1,329.748164,6.0,false,36.52,95.26,true,middle third,,,,,,,,,,,true,,,,,,,,,2025-10-24T09:15:24+02:00
evt_0004,match_19_sbu_vs_2wfc,San Beda University,left,Throw-in,15,Jul Aningalan,CB,18,1,336.197996,7.0,false,53.52,96.02,true,middle third,,,,,,,,,,,true,,,,,,,,,2025-10-24T09:15:59+02:00
evt_0005,match_19_sbu_vs_2wfc,2 Worlds FC,right,Foul,103,,0,24,1,342.807107,6.0,false,35.27,64.14,true,middle third,,,,,,,,,,,true,,,,,,,,,2025-10-24T09:16:23+02:00
evt_0006,match_19_sbu_vs_2wfc,San Beda University,left,Corner,19,Kirvy Tabelin,CAM,41,1,359.779458,17.0,false,36.27,68.26,false,defensive third,,,,,,,,,,,true,,,,,,,,,2025-10-24T09:18:56+02:00
evt_0007,match_19_sbu_vs_2wfc,San Beda University,left,Possession Loss,19,Kirvy Tabelin,CAM,60,1,378.375423,19.0,false,2.52,31.13,false,defensive third,,,,,,,,,,,true,,,,,,,,,2025-10-24T09:19:39+02:00
evt_0008,match_19_sbu_vs_2wfc,2 Worlds FC,right,Pass,96,,0,66,1,384.555363,6.0,true,5.77,52.88,true,attacking third,Successful,Short,Short,,8.02,81.39,attacking third,Lateral Pass,False,,false,,,,,,,,,2025-10-24T09:20:22+02:00
evt_0009,match_19_sbu_vs_2wfc,2 Worlds FC,right,Pass,101,,0,68,1,386.695296,2.0,true,12.52,82.89,true,attacking third,Successful,Short,Short,,26.02,67.89,middle third,Back Pass,False,,true,,,,,,,,,2025-10-24T09:20:48+02:00
evt_0010,match_19_sbu_vs_2wfc,2 Worlds FC,right,Pass,103,,0,75,1,393.080299,7.0,true,26.52,59.63,true,middle third,Successful,Short,Short,,33.52,77.64,middle third,Back Pass,False,,true,,,,,,,,,2025-10-24T09:21:59+02:00
evt_0011,match_19_sbu_vs_2wfc,2 Worlds FC,right,Pass,102,,0,76,1,394.456345,1.0,true,33.02,77.64,true,middle third,Successful,Short,Short,,24.27,61.13,attacking third,Forward Pass,False,,true,,,,,,,,,2025-10-24T09:22:15+02:00
evt_0012,match_19_sbu_vs_2wfc,2 Worlds FC,right,Pass,101,,0,79,1,397.80987,3.0,true,27.27,64.51,true,middle third,Successful,Short,Short,,34.77,55.88,middle third,Back Pass,False,,true,,,,,,,,,2025-10-24T09:22:31+02:00
evt_0013,match_19_sbu_vs_2wfc,2 Worlds FC,right,Pass,103,,0,81,1,399.255288,2.0,true,31.02,52.51,true,middle third,Successful,Short,Short,,20.02,41.26,attacking third,Forward Pass,False,,true,,,,,,,,,2025-10-24T09:22:47+02:00
evt_0014,match_19_sbu_vs_2wfc,2 Worlds FC,right,Pass,107,,0,84,1,402.358294,3.0,true,24.02,40.88,true,attacking third,Successful,Short,Short,,24.27,61.88,attacking third,Lateral Pass,False,,true,,,,,,,,,2025-10-24T09:23:07+02:00
evt_0015,match_19_sbu_vs_2wfc,2 Worlds FC,right,Pass,101,,0,86,1,404.628509,2.0,true,24.52,67.89,true,attacking third,Successful,Short,Short,,30.52,84.39,middle third,Back Pass,False,,true,,,,,,,,,2025-10-24T09:23:25+02:00
evt_0016,match_19_sbu_vs_2wfc,2 Worlds FC,right,Pass,99,,0,88,1,406.645996,2.0,true,27.27,84.76,true,middle third,Successful,Short,Short,,32.52,60.76,middle third,Back Pass,False,,true,,,,,,,,,2025-10-24T09:23:39+02:00
evt_0017,match_19_sbu_vs_2wfc,2 Worlds FC,right,Pass,103,,0,91,1,409.943445,3.0,true,30.02,65.64,true,middle third,Successful,Short,Short,,37.02,51.38,middle third,Back Pass,False,,true,,,,,,,,,2025-10-24T09:23:57+02:00
evt_0018,match_19_sbu_vs_2wfc,San Beda University,left,Recovery,42,Harvy Barro,CDM,95,1,413.510468,4.0,false,46.02,60.01,false,middle third,,,,,,,,,,,true,,,,,,,,,2025-10-24T09:24:23+02:00
evt_0019,match_19_sbu_vs_2wfc,San Beda University,left,Pass,42,Harvy Barro,CDM,99,1,417.388886,4.0,true,63.27,58.51,true,middle third,Successful,Short,Short,,83.52,43.88,attacking third,Forward Pass,False,,true,,,,,,,,,2025-10-24T09:24:42+02:00
evt_0020,match_19_sbu_vs_2wfc,San Beda University,left,Pass,13,Pedro Tagara,GK,100,1,418.867297,1.0,true,82.52,39.76,true,attacking third,Successful,Short,Short,,74.27,24,middle third,Back Pass,False,,false,,,,,,,,,2025-10-24T09:25:18+02:00
evt_0021,match_19_sbu_vs_2wfc,San Beda University,left,Pass,41,Diegocarl Digal,CB,103,1,421.376604,3.0,true,75.02,25.13,true,attacking third,Successful,Short,Short,,68.27,37.88,middle third,Back Pass,False,,true,,,,,,,,,2025-10-24T09:25:32+02:00
evt_0022,match_19_sbu_vs_2wfc,San Beda University,left,Pass,42,Harvy Barro,CDM,106,1,424.150531,3.0,true,57.02,33.01,true,middle third,Successful,Short,Short,,44.27,22.88,middle third,Back Pass,False,,true,,,,,,,,,2025-10-24T09:25:54+02:00
evt_0023,match_19_sbu_vs_2wfc,San Beda University,left,Pass,22,Pius Encaya,ST,109,1,427.767126,3.0,true,43.27,23.63,false,middle third,Successful,Short,Short,,34.27,8.25,defensive third,Back Pass,False,,true,,,,,,,,,2025-10-24T09:26:25+02:00
evt_0024,match_19_sbu_vs_2wfc,San Beda University,left,Duel,20,Laurence Fernandez,LWB,112,1,430.018958,3.0,false,29.52,9.38,false,defensive third,Successful,Ground,,,,,,,,,true,,,,,,,,,2025-10-24T09:27:24+02:00
evt_0025,match_19_sbu_vs_2wfc,2 Worlds FC,right,Recovery,97,,0,117,1,434.99854,5.0,false,19.52,21.38,true,attacking third,,,,,,,,,,,true,,,,,,,,,2025-10-24T09:27:49+02:00
evt_0026,match_19_sbu_vs_2wfc,2 Worlds FC,right,Pass,97,,0,119,1,437.933237,2.0,true,23.77,24.38,true,attacking third,Successful,Short,Short,,32.27,39.76,middle third,Back Pass,False,,true,,,,,,,,,2025-10-24T09:28:15+02:00
evt_0027,match_19_sbu_vs_2wfc,2 Worlds FC,right,Pass,106,,0,125,1,442.973607,6.0,true,34.27,56.63,true,middle third,Unsuccessful,Short,Short,,41.77,71.26,middle third,Back Pass,False,,true,,,,,,,,,2025-10-24T09:29:24+02:00
evt_0028,match_19_sbu_vs_2wfc,2 Worlds FC,right,Pass,103,,0,130,1,448.744453,5.0,true,36.02,66.39,true,middle third,Successful,Short,Short,,40.02,46.88,middle third,Back Pass,False,,true,,,,,,,,,2025-10-24T09:30:54+02:00
evt_0029,match_19_sbu_vs_2wfc,2 Worlds FC,right,Pass,106,,0,134,1,452.116789,4.0,true,42.02,49.88,true,middle third,Intercepted,Short,Short,,40.27,63.01,middle third,Forward Pass,False,,true,,,,,,,,,2025-10-24T09:31:18+02:00
evt_0030,match_19_sbu_vs_2wfc,San Beda University,left,Pass,21,Bel Escodo,CAM,138,1,456.197084,4.0,true,40.27,65.26,false,middle third,Successful,Short,Short,,29.77,87.39,defensive third,Back Pass,False,,true,,,,,,,,,2025-10-24T09:31:38+02:00
evt_0031,match_19_sbu_vs_2wfc,San Beda University,left,Pass,23,Sam Salingay,ST,138,1,456.731958,0.0,true,30.77,87.39,false,defensive third,Intercepted,Through Ball,Through Ball,,19.27,78.39,defensive third,Back Pass,False,,true,,,,,,,,,2025-10-24T09:32:27+02:00
evt_0032,match_19_sbu_vs_2wfc,2 Worlds FC,right,Pass,99,,0,143,1,461.686159,5.0,true,23.77,82.14,true,attacking third,Unsuccessful,Short,Short,,44.77,83.26,middle third,Back Pass,False,,true,,,,,,,,,2025-10-24T09:34:11+02:00
evt_0033,match_19_sbu_vs_2wfc,San Beda University,left,Pass,15,Jul Aningalan,CB,145,1,463.59624,2.0,true,49.02,80.26,false,middle third,Successful,Short,Short,,42.52,71.26,middle third,Back Pass,False,,true,,,,,,,,,2025-10-24T09:34:39+02:00
evt_0034,match_19_sbu_vs_2wfc,San Beda University,left,Pass,21,Bel Escodo,CAM,147,1,465.508155,2.0,true,42.52,64.89,false,middle third,Successful,Short,Short,,47.27,51.01,middle third,Forward Pass,False,,true,,,,,,,,,2025-10-24T09:34:59+02:00
