team_name,possession__your_possession_time_seconds,possession__attacking_third_possession_seconds,possession__attacking_third_possession_pct_of_team,possession__possession_pct,distribution__passes,distribution__successful_passes,distribution__intercepted_passes,distribution__unsuccessful_passes,distribution__short_passes,distribution__long_passes,distribution__crosses,distribution__through_passes,distribution__header_passes,distribution__forward_passes,distribution__lateral_passes,distribution__back_passes,distribution__passing_accuracy_pct,distribution__assists,distribution__key_passes,attack__goals,attack__shots,attack__shots_on_target,attack__shots_off_target,attack__blocked_shots,attack__shot_creating_actions,defense__tackles,defense__successful_tackles,defense__tackles_success_rate_pct,defense__clearances,defense__interceptions,defense__recoveries,defense__recoveries_attacking_third,defense__recoveries_attacking_third_pct,defense__blocks,defense__saves,general__duels,general__duels_won,general__duels_success_rate_pct,general__aerial_duels,general__ground_duels,general__offsides,general__corner_awarded,discipline__fouls_conceded,discipline__yellow_cards,discipline__red_cards,match_rating_attack,match_rating_defense,match_rating_distribution,match_rating_general,match_rating_discipline,overall_rating,outcome_score,added_at,match_number,match_id,is_synthetic,match_rating_overall
University of the Philippines,2399.715,306.204,12.76,47.44,156,109,14,47,95,16,11,5,3,15,10,3,69.83,0,2,1,5,2,3,0,6,8,5,62.5,8,5,5,1,20.0,1,2,21,15,71.43,9,12,1,1,2,0,0,5.34,4.44,4.99,3.27,7.98,4.99,0.443,2025-10-18T04:20:51.009930+00:00,26,University_of_the_Philippines_20251208181114_26,1,4.99
Mapúa University,2445.175,331.321,13.55,45.45,129,76,28,53,97,22,6,3,2,0,0,7,58.64,0,1,0,4,1,3,0,4,9,5,55.56,11,10,5,1,20.0,2,1,11,6,54.55,3,8,1,1,8,2,0,4.16,5.22,4.97,4.16,5.67,4.77,0.419,2025-10-13T12:37:21.010933+00:00,465,Mapúa_University_20251208181114_465,1,4.77
University of Santo Tomas,2087.975,197.522,9.46,40.02,68,42,7,26,48,12,7,1,2,0,0,5,62.02,0,2,0,4,1,3,0,6,5,3,60.0,3,2,6,1,16.67,1,2,10,6,60.0,2,8,0,1,0,2,0,4.81,4.34,4.5,3.92,5.52,4.56,0.396,2025-03-11T13:36:31.010933+00:00,812,University_of_Santo_Tomas_20251208181114_812,1,4.56
Far Eastern University,1182.348,150.986,12.77,22.41,55,38,4,17,36,7,5,2,1,1,3,11,69.58,0,1,0,2,1,1,0,2,5,3,60.0,8,15,5,1,20.0,2,0,16,11,68.75,2,14,0,0,1,0,0,4.53,5.54,3.83,3.97,6.61,4.8,0.422,2025-01-12T14:36:15.010933+00:00,676,Far_Eastern_University_20251208181114_676,1,4.8
Ateneo de Manila University,2245.796,124.642,5.55,44.57,128,92,9,36,93,18,0,5,5,4,3,12,71.5,0,1,0,4,1,3,0,3,12,4,33.33,8,6,1,0,0.0,1,0,4,2,50.0,0,4,0,1,6,0,0,4.89,5.63,4.91,4.07,7.63,5.26,0.473,2025-11-08T23:41:52.010933+00:00,413,Ateneo_de_Manila_University_20251208181114_413,1,5.26
De La Salle University,2017.048,187.989,9.32,39.64,74,43,9,31,54,11,3,1,1,1,3,8,57.81,0,2,0,4,2,2,0,4,12,8,66.67,11,16,9,2,22.22,1,2,26,9,34.62,6,20,0,2,2,0,0,3.59,5.46,4.91,3.85,7.76,4.83,0.426,2025-10-01T08:33:30.011928+00:00,872,De_La_Salle_University_20251208181114_872,1,4.83
University of the Philippines,3184.434,749.616,23.54,61.9,89,69,6,20,65,16,5,4,3,0,0,10,78.03,0,2,0,4,1,3,1,3,13,7,53.85,11,1,1,0,0.0,1,1,31,21,67.74,4,27,1,0,4,1,0,4.74,4.33,3.71,4.64,6.92,4.62,0.402,2025-09-16T11:44:28.011928+00:00,912,University_of_the_Philippines_20251208181114_912,1,4.62
Riverside FC,3794.866,1095.578,28.87,74.64,114,79,12,35,86,13,4,5,4,1,1,10,69.41,0,3,1,9,2,7,1,12,16,12,75.0,5,2,6,1,16.67,0,1,36,16,44.44,0,36,0,3,3,0,0,6.39,5.03,4.88,4.49,7.05,5.51,0.501,2025-11-16T02:18:40.011928+00:00,26,Riverside_FC_20251208181114_26,1,5.51
San Beda University,3452.885,486.166,14.08,63.54,117,80,10,37,80,15,5,2,1,8,4,9,68.19,0,3,1,7,3,4,1,10,19,9,47.37,4,6,7,1,14.29,0,0,14,6,42.86,4,10,0,2,4,0,0,4.66,4.47,4.55,4.99,7.2,4.88,0.431,2025-08-15T10:56:14.011928+00:00,533,San_Beda_University_20251208181114_533,1,4.88
Far Eastern University,1352.944,373.007,27.57,27.07,60,41,2,19,37,10,2,2,1,3,5,6,68.35,0,2,0,3,1,2,0,2,6,4,66.67,9,10,14,1,7.14,1,2,1,1,100.0,1,0,0,2,5,1,0,5.39,3.97,4.33,3.89,7.08,4.74,0.416,2025-04-03T19:22:05.011928+00:00,26,Far_Eastern_University_20251208181114_26,1,4.74
National University,1403.891,309.979,22.08,27.42,60,49,5,11,44,8,3,2,1,1,1,3,80.85,0,1,0,3,1,2,0,4,0,0,44.62,15,12,4,0,0.0,1,0,6,3,50.0,1,5,0,0,2,0,0,3.39,5.08,5.27,4.61,6.9,4.76,0.418,2025-01-03T17:12:02.011928+00:00,282,National_University_20251208181114_282,1,4.76
