team_name,possession__your_possession_time_seconds,possession__attacking_third_possession_seconds,possession__attacking_third_possession_pct_of_team,possession__possession_pct,distribution__passes,distribution__successful_passes,distribution__intercepted_passes,distribution__unsuccessful_passes,distribution__short_passes,distribution__long_passes,distribution__crosses,distribution__through_passes,distribution__header_passes,distribution__forward_passes,distribution__lateral_passes,distribution__back_passes,distribution__passing_accuracy_pct,distribution__assists,distribution__key_passes,attack__goals,attack__shots,attack__shots_on_target,attack__shots_off_target,attack__blocked_shots,attack__shot_creating_actions,defense__tackles,defense__successful_tackles,defense__tackles_success_rate_pct,defense__clearances,defense__interceptions,defense__recoveries,defense__recoveries_attacking_third,defense__recoveries_attacking_third_pct,defense__blocks,defense__saves,general__duels,general__duels_won,general__duels_success_rate_pct,general__aerial_duels,general__ground_duels,general__offsides,general__corner_awarded,discipline__fouls_conceded,discipline__yellow_cards,discipline__red_cards,match_rating_attack,match_rating_defense,match_rating_distribution,match_rating_general,match_rating_discipline,overall_rating,outcome_score,added_at,match_number,match_id,is_synthetic,match_rating_overall
Valley Rovers,2466.374,394.866,16.01,49.52,224,163,19,61,138,19,14,7,5,26,14,5,72.94,0,6,0,5,2,3,0,7,9,6,66.67,10,5,7,2,28.57,1,2,26,19,73.08,13,13,1,1,2,0,0,5.76,5.07,5.52,3.64,8.28,5.47,0.497,2025-10-17T20:25:12.572409+00:00,26,Valley_Rovers_20251208101535_26,1,5.47
Summit Peak FC,2586.154,437.577,16.92,47.81,198,118,48,80,155,30,7,4,2,0,0,11,59.35,1,3,1,5,2,3,0,3,11,6,54.55,13,12,7,1,14.29,3,1,15,8,53.33,4,11,1,1,10,2,0,5.31,5.92,5.46,4.49,5.77,5.44,0.493,2025-10-13T04:41:42.573361+00:00,465,Summit_Peak_FC_20251208101535_465,1,5.44
Southgate United,2241.057,274.081,12.23,43.16,117,74,13,43,84,18,11,2,6,0,0,9,63.46,0,5,0,7,3,4,0,7,7,4,57.14,3,2,8,2,25.0,1,3,14,9,64.29,3,11,1,2,0,2,0,5.74,4.91,5.0,4.27,5.62,5.14,0.46,2025-03-11T05:40:52.573361+00:00,812,Southgate_United_20251208101535_812,1,5.14
Highland Wanderers,1478.943,237.075,16.03,28.06,103,75,7,28,68,12,9,3,1,3,8,21,72.63,0,2,0,3,1,2,0,4,7,4,57.14,10,16,6,2,33.33,3,0,24,17,70.83,3,21,0,1,1,0,0,5.35,6.22,4.39,4.35,6.91,5.42,0.491,2025-01-12T06:40:36.573361+00:00,676,Highland_Wanderers_20251208101535_676,1,5.42
Metro FC,2331.545,181.161,7.77,47.06,190,142,13,48,143,23,0,8,10,4,3,17,74.97,0,2,0,5,2,3,0,6,16,6,37.5,10,7,1,0,0.0,2,0,5,3,60.0,0,5,0,1,7,1,0,5.88,6.37,5.45,4.31,7.03,5.83,0.537,2025-11-08T15:46:13.573361+00:00,413,Metro_FC_20251208101535_413,1,5.83
Lakeside Athletic,2150.303,259.757,12.08,42.83,124,72,16,52,94,15,4,1,1,2,6,13,58.35,1,2,1,6,3,3,0,8,15,10,66.67,13,19,12,3,25.0,2,3,35,12,34.29,8,27,0,3,2,0,0,4.79,6.18,5.36,4.22,8.06,5.54,0.504,2025-10-01T00:37:51.573361+00:00,872,Lakeside_Athletic_20251208101535_872,1,5.54
Valley Rovers,3155.015,893.816,28.33,61.92,147,122,9,25,111,23,7,8,8,0,0,17,82.89,1,2,1,8,3,5,0,9,15,9,60.0,13,1,1,0,0.0,1,2,38,26,68.42,5,33,2,0,5,1,0,6.21,5.0,4.3,5.0,7.12,5.41,0.49,2025-09-16T03:48:49.573361+00:00,912,Valley_Rovers_20251208101535_912,1,5.41
Silverlake City,3652.902,1257.694,34.43,72.84,179,130,18,49,140,17,5,8,8,0,0,16,72.42,1,7,1,11,4,7,1,7,18,14,77.78,8,3,10,2,20.0,0,1,43,20,46.51,0,43,0,5,5,0,0,6.98,5.74,5.44,4.89,7.35,6.07,0.563,2025-11-15T18:23:01.573361+00:00,26,Silverlake_City_20251208101535_26,1,6.07
San Beda University,3470.941,608.109,17.52,63.32,188,133,17,55,132,21,7,3,1,18,7,14,70.95,2,7,2,11,4,7,1,14,22,10,45.45,5,7,10,2,20.0,0,1,17,8,47.06,5,12,0,4,4,0,0,5.64,5.1,5.12,5.34,7.5,5.53,0.503,2025-08-15T03:00:35.574334+00:00,533,San_Beda_University_20251208101535_533,1,5.53
Northbridge FC,1570.917,517.46,32.94,32.06,104,74,3,30,66,15,3,3,0,7,11,10,71.14,1,1,1,5,1,4,0,5,7,4,57.14,11,12,20,3,15.0,2,2,2,1,50.0,1,1,0,2,6,1,0,6.62,4.66,4.86,4.26,7.28,5.45,0.494,2025-04-03T11:26:26.574334+00:00,26,Northbridge_FC_20251208101535_26,1,5.45
